Summary,Company_name,Cluster
 equipment used in the manufacture processing packing or holding of drug products is not suitably located to facilitate operations for its intended use. There is no data to represent conditions during lb intervention iliad . regard movement of conveyed or of any intervention 4 performed throw lb 1 j ll.,Eugia SEZ Private Limited,Cluster 2
 failure to maintain a back file of data entered into the computer or related system. Failure to maintain electronic records of configuration of user accounts password and system date time.,Eugia SEZ Private Limited,Cluster 3
The exterior of the tu my is not seen ze nor to installation in the filling assembly located in the Trade A filling area directly above and open vilas during production operations. There is no written procedure detailing the cleaning of ladder 6 l and by Lamina Inflow Cabinet by the Trade.,Eugia SEZ Private Limited,Cluster 2
Employees engaged in the manufacture and processing of a dog product lack the training required to perform their assigned functions. The ability of visual inspector to idea tiny integrity defects during visual inspection of ball Restricted Access Cancer System b 4 has not been adequately possessed.,Eugia SEZ Private Limited,Cluster 4
During set up and aseptic filling of Injection batch of market on January 20 2024 the following was observed. Procedures designed to prevent contamination of mug products importing to be sterile are not established and followed. The operator did not first their hands before entering the filling barrier.,Eugia Pharma Specialities Limited,Cluster 0
B integrity testing was not performed on B 14 during post fill B 14 integrity testing associated with aseptically filled. However passed intent ty test results were generate for all that were not tested. The practice was observed to have occurred following batch 2 out of the were actually tested.,Eugia Pharma Specialities Limited,Cluster 2
Watch production n and control records do not include complete information relating to the production and control of each batch. Review of the intervention records showed production personnel did not document all intervention or document intervention accurately. E log cleaning records document cleaning activities including mo in disinfection all rise and sanitation for the Bloc Line B vital filling stopping machine.,Eugia Pharma Specialities Limited,Cluster 1
There is a failure to thoroughly review any unexplained discrepancy and the failure of a batch or any of its components to meet its specification. There have been four rejected patches of by L infection of market for exceeding the limit for individual unknown imply ty including I b C.,Eugia Pharma Specialities Limited,Cluster 3
There are no controls to prevent operators from changing the date and time on the Limit non viable particle count equipment. The Xi 73 10 Dissolved Oxygen Peter allows automatic saving of electronic data that can be backed up to a or transferred through a connected computer but these capabilities are not being used.,Eugia Pharma Specialities Limited,Cluster 3
Change Control of 21 0673 for InJecbon my my. 1 enter visual inspection for color change time filed and sealed vilas B 41 sterilisation. Is pain recall investigation 04 651 20 00 for this spine product which included color change from clear to 6 4 I indicative of J degradation. Change control of 22 0128 eliminated this review for each batch with no document justification.,Eugia Pharma Specialities Limited,Cluster 1
Your nm s sterility test method suitability and routine test method for the release of by ll drug product of is deficient in that the products are not appropriately l for test. Examples include but are not limited to the following b j products b 1 . 6 Injection 1 my vital is instead of b 144 di d h i h d d as m came m t e his e to act Ce1iificate. You do not have studies to show that air j 6 4 1 1,Eugia Pharma Specialities Limited,Cluster 4
The automatic visual inspection machine was used to usually inspect commercial patches for the of market for clear and amber vilas my to my in size for particles glass fragments fibres low high volume discoloured and empty vital s. 483 particles of known size were acquired to appropriately qualify the machine. The existing machine recipe were found to be inadequate for further qualification work. The suspension for using the came after an request on October 5 2022.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 4
He observed change parts for the filling and tapping lines were damaged in ways that may generate articulate or make them difficult to clean. Change parts were observed entrusted with black brown and color materials. He observed defects on your line filling machine EQP 57 while it was ragged in CLEANED status.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 2
The procedure of 018 for the filling line has no instructions for cleaning the change parts that are removed from the line. The parts are wiped with during the transfer back into the filling area and wipe with after installation. There is no cleaning purification to ensue re this process is ad quite.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 2
 Equipment used in the manufacture processing packing or holding of drug products is not of appropriate design to facilitate operations for its intended use and cleaning and maintenance. Filling rooms and tapping rooms for both the and filling lines used for of market product are not designed to permit operator s to move freely to required areas.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 2
Your firm failed to establish adequate written or procedures for production and process controls. Review of completed visual inspection records found more units were inspected in the document time periods than would have been reasonably possible if the procedure had been followed. The acceptance criterion for light intensity during visual inspection was changed from to not less than klux for all products.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 1
 Procedures designed to prevent contamination of drug products supporting to be sterile are not established. For example during batch the time between smiling and the end of was approximately 11 hour ere is no smiling data from the holding tank.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 0
Your Quality Knit lacks adequate oversight on th e control and management of documents. Procedures for the preparation of master production and control records are not followed. There are approximately 69 exhibits from site or procedures that are used for recording data that can be printed by any employee.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 1
Batch production and control records are deficient in that they do not include in process control results. Original data is not being maintained and reviewed. Only during qualification data was saved electronic call but not reviewed.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 1
Your firm has relied upon on your Analytical Development Laboratory R D Knit for and Method Purification activities. The analytical methods transferred to your site from R D is inadequate as it does not ensure the suitability of analytical method to perform the respective analysis of drug product. Your Saw Material Standard West Procedures s pertaining to Identification by are deficient in that there is no mention of background check using instrument method.,Baxter Pharmaceuticals India Pvt Ltd,Cluster 1
