Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
11/17/2023,3003434972,"Wedgewood Connect, LLC",483,02/12/2024,https://www.fda.gov/media/176195/download,269647
12/01/2023,3021758709,Empower Clinic Services LCC dba Empower Pharmacy,483,02/12/2024,https://www.fda.gov/media/176194/download,269648
09/08/2023,3011139911,"Sichuan Deebio Pharmaceutical Co., Ltd.",483,02/08/2024,https://www.fda.gov/media/176079/download?attachment,269649
02/10/2023,3000209996,"AGC Biologics, Inc.",483,01/31/2024,https://www.fda.gov/media/175834/download?attachment,269651
01/19/2024,3013702557,Alvotech Hf,483,01/31/2024,https://www.fda.gov/media/175832/download?attachment,269650
01/27/2023,3004610460,Baxter Pharmaceuticals India Pvt Ltd,483,01/30/2024,https://www.fda.gov/media/175813/download?attachment,269652
12/22/2023,3015534630,Eugia US Manufacturing LLC,483,01/30/2024,https://www.fda.gov/media/175809/download?attachment,269653
08/25/2023,3004378804,Central Admixture Pharmacy Services Inc,483,01/25/2024,https://www.fda.gov/media/175708/download,269654
09/22/2023,3005698544,"Precision Equine, LLC",483,01/25/2024,https://www.fda.gov/media/175706/download,269656
11/09/2023,3011319445,Hybrid Pharma LLC,483,01/25/2024,https://www.fda.gov/media/175704/download,269657
10/04/2023,3025336457,"STAQ Pharma of Ohio, LLC",483,01/25/2024,https://www.fda.gov/media/175707/download,269655
07/23/2015,,"Sina LLC, dba OncoMed (Onco 360)",483,01/17/2024,https://www.fda.gov/media/89973/download,270234
07/24/2015,,"Forest/Inwood Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/70886/download,270165
07/28/2015,,"Changzhou SPL Company,  Ltd",483,01/17/2024,https://www.fda.gov/media/70085/download,270148
06/06/2016,,Ballard Plaza Pharmacy 1 Inc.,483,01/17/2024,https://www.fda.gov/media/98554/download,270002
-,,ADMA Biologics Inc.,483,01/17/2024,https://www.fda.gov/media/116164/download,269663
-,,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/114365/download,269658
-,,Arnold Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/116510/download,269672
-,,Auro Pharmacies,483,01/17/2024,https://www.fda.gov/media/116178/download,269665
-,,"Central Admixture Pharmacy Services, Inc.",483,01/17/2024,https://www.fda.gov/media/116404/download,269667
-,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/115704/download,269660
-,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/115712/download,269662
-,,"HomeChoice Partners, Inc.",483,01/17/2024,https://www.fda.gov/media/116171/download,269664
-,,Hunter Holmes McGuire Veterans Affairs Medical Center,483,01/17/2024,https://www.fda.gov/media/115657/download,269659
-,,"Inventive Infusion Solutions, LP",483,01/17/2024,https://www.fda.gov/media/116410/download,269671
-,,New Vitalis Pharmacy LLC dba New Vitalis Pharmacy,483,01/17/2024,https://www.fda.gov/media/116408/download,269668
-,,"People’s Custom Rx and Clinical Care, LLC",483,01/17/2024,https://www.fda.gov/media/115739/download,269661
-,,"Pharm D Solutions, LLC",483,01/17/2024,https://www.fda.gov/media/116405/download,269669
-,,Quinn Pharmacy dba Northland Discount Drug Inc.,483,01/17/2024,https://www.fda.gov/media/116506/download,269670
-,,"South Coast Specialty Compounding, Inc.",483,01/17/2024,https://www.fda.gov/media/116612/download,269673
-,,"South Coast Specialty Compounding, Inc.",483,01/17/2024,https://www.fda.gov/media/116957/download,269676
-,,Sparboe Farms Inc.,483,01/17/2024,https://www.fda.gov/media/116804/download,269674
-,,Sparboe Farms Inc.,483,01/17/2024,https://www.fda.gov/media/116912/download,269675
-,,"Westlab Pharmacy, Inc. dba Westlab Pharmacy",483,01/17/2024,https://www.fda.gov/media/116175/download,269666
07/11/2015,"Unico Holdings, Inc.","Unico Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/78770/download,270573
07/24/2015,112247,"Nestle USA, Inc.",483,01/17/2024,https://www.fda.gov/media/77129/download,270177
07/24/2015,265014,"McNeil Healthcare, LLC",483,01/17/2024,https://www.fda.gov/media/79823/download,270184
07/11/2015,1011574,"Greer Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/87837/download,270459
07/23/2015,1019003,Baxter Healthcare Corporation,483,01/17/2024,https://www.fda.gov/media/78340/download,270220
12/14/2017,1019003,Baxter Healthcare Corporation,483,01/17/2024,https://www.fda.gov/media/109986/download,269761
07/17/2015,1019788,Blue Bell Creameries Inc L.P,483,01/17/2024,https://www.fda.gov/media/91865/download,270326
07/17/2015,1019788,Blue Bell Creameries Inc L.P,483,01/17/2024,https://www.fda.gov/media/92107/download,270334
07/10/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85847/download,270663
07/11/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/82036/download,270550
07/11/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/82060/download,270552
07/10/2015,1021417,Bi-County Farm Bureau Coop Assn Inc,483,01/17/2024,https://www.fda.gov/media/77292/download,270625
07/10/2015,1021417,Bi-County Farm Bureau Coop Assn Inc,483,01/17/2024,https://www.fda.gov/media/77302/download,270629
03/31/2017,1022121,Dixie Dew Products Inc,483,01/17/2024,https://www.fda.gov/media/104259/download,269891
07/11/2015,1028739,"Delta Air Lines, Inc.",483,01/17/2024,https://www.fda.gov/media/80695/download,270560
07/11/2015,1031452,Invacare Corporation,483,01/17/2024,https://www.fda.gov/media/82054/download,270428
07/11/2015,1031630,Thermo Pac LLC,483,01/17/2024,https://www.fda.gov/media/82026/download,270427
07/24/2015,1032300,"Bausch and Lomb, Inc",483,01/17/2024,https://www.fda.gov/media/70087/download,270167
07/10/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74401/download,270408
07/10/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74437/download,270406
07/11/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74389/download,270601
07/23/2015,1037746,"Wellness Pharmacy, Inc.",483,01/17/2024,https://www.fda.gov/media/90120/download,270247
07/11/2015,1047582,"NHS U.S., LLC",483,01/17/2024,https://www.fda.gov/media/70677/download,270490
07/10/2015,1048698,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85914/download,270677
07/10/2015,1048698,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85917/download,270678
12/17/2015,1051570,Green Hills Health and Wellness Pharmacy Inc,483,01/17/2024,https://www.fda.gov/media/90276/download,270078
07/11/2016,1051570,Green Hills Health and Wellness Pharmacy Inc,483,01/17/2024,https://www.fda.gov/media/99366/download,269986
07/11/2015,1073003,American Red Cross Blood Services River Valley Region,483,01/17/2024,https://www.fda.gov/media/78747/download,270518
07/02/2018,1110315,Viatris Inc.,483,01/17/2024,https://www.fda.gov/media/114553/download,269696
07/24/2015,1119912,"Johns  Hopk i ns,  Bayview  Medical  Center,  Human  Subjects  Conunittcc",483,01/17/2024,https://www.fda.gov/media/70735/download,270159
07/24/2015,1120913,Johns Hopkins University School of Medicine IRB,483,01/17/2024,https://www.fda.gov/media/70726/download,270160
07/11/2015,1121308,Integra LifeSciences Corporation,483,01/17/2024,https://www.fda.gov/media/81946/download,270606
08/12/2015,1122335,American Red Cross Biomedical Sevices Headquarters,483,01/17/2024,https://www.fda.gov/media/79336/download,270138
07/11/2015,1173010,American Red Cross Blood Services Virginia Region,483,01/17/2024,https://www.fda.gov/media/82810/download,270446
07/11/2015,1173011,American Natl. Red Cross-Greater Chesapeake & Potomac Region,483,01/17/2024,https://www.fda.gov/media/79351/download,270612
09/27/2018,1218996,"Magellan Diagnostics, Inc.",483,01/17/2024,https://www.fda.gov/media/106203/download,269850
05/15/2017,1219544,Boston Scientifc Corporation,483,01/17/2024,https://www.fda.gov/media/70654/download,270494
10/29/2015,1221426,"Boston Analytical, Inc.",483,01/17/2024,https://www.fda.gov/media/86652/download,270349
07/23/2015,1270482,Marlborough Hospital,483,01/17/2024,https://www.fda.gov/media/90621/download,270246
07/11/2015,1273014,American Red Cross Blood Services,483,01/17/2024,https://www.fda.gov/media/79383/download,270522
07/11/2015,1273014,American Red Cross Blood Services,483,01/17/2024,https://www.fda.gov/media/82832/download,270480
10/25/2016,1283713,The General Hospital Corporation,483,01/17/2024,https://www.fda.gov/media/100771/download,269925
05/22/2017,1318360,"Repro-Med Systems, Inc.",483,01/17/2024,https://www.fda.gov/media/105639/download,269854
10/25/2016,1371719,Rochester General Hospital,483,01/17/2024,https://www.fda.gov/media/100768/download,269921
07/11/2015,1419498,"Rising Pharma Holdings, Inc",483,01/17/2024,https://www.fda.gov/media/82460/download,270578
07/10/2015,1420913,"Morton Grove Pharmaceuticals, Inc.",483,01/17/2024,https://www.fda.gov/media/88720/download,270725
07/11/2015,1450114,"Rising Pharma Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/82462/download,270579
07/11/2015,1450114,"Rising Pharma Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/82476/download,270582
11/22/2016,1450114,"Rising Pharma Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/101132/download,269940
10/13/2017,1450114,"Rising Pharma Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/108066/download,269774
10/13/2017,1450114,"Rising Pharma Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/108230/download,269772
07/10/2015,1473043,American Red Cross Blood Services Heart of America Region,483,01/17/2024,https://www.fda.gov/media/79371/download,270641
07/11/2015,1473043,American Red Cross Blood Services Heart of America Region,483,01/17/2024,https://www.fda.gov/media/82874/download,270481
05/04/2018,1480280,Nutripack LLC,483,01/17/2024,https://www.fda.gov/media/103072/download,269902
07/11/2015,1519257,Ben Venue Laboratories Inc,483,01/17/2024,https://www.fda.gov/media/82039/download,270567
07/11/2015,1519257,Ben Venue Laboratories Inc,483,01/17/2024,https://www.fda.gov/media/82042/download,270569
07/10/2015,1520332,"Cooper Farms, Inc.",483,01/17/2024,https://www.fda.gov/media/83516/download,270377
03/02/2018,1525965,Philips Medical Systems (Cleveland) Inc,483,01/17/2024,https://www.fda.gov/media/111401/download,269732
07/11/2015,1526383,Trillium Farm Holdings LLC,483,01/17/2024,https://www.fda.gov/media/79772/download,270442
07/17/2015,1526383,Trillium Farm Holdings LLC,483,01/17/2024,https://www.fda.gov/media/79763/download,270556
09/30/2016,1530045,Crosbys Drugs Inc,483,01/17/2024,https://www.fda.gov/media/100419/download,269944
07/11/2015,1573019,The American National Red Cross,483,01/17/2024,https://www.fda.gov/media/82934/download,270483
07/23/2015,1621802,"OKC Allergy Supplies, Inc.",483,01/17/2024,https://www.fda.gov/media/87719/download,270215
07/10/2015,1628454,ICU Medical Inc,483,01/17/2024,https://www.fda.gov/media/85924/download,270680
07/23/2015,1640846,"Duran and Sons, LLC",483,01/17/2024,https://www.fda.gov/media/79536/download,270194
07/10/2015,1673040,American National Red Cross Blood Services SW Region,483,01/17/2024,https://www.fda.gov/media/82925/download,270421
07/17/2015,1682009,"Blue Bell Creameries, L.P.",483,01/17/2024,https://www.fda.gov/media/92059/download,270328
07/23/2015,1682009,"Blue Bell Creameries, L.P.",483,01/17/2024,https://www.fda.gov/media/92071/download,270232
07/10/2015,1713910,"Edwards Lifesciences, LLC",483,01/17/2024,https://www.fda.gov/media/88453/download,270344
07/17/2015,1717759,Sandoz Incorporated,483,01/17/2024,https://www.fda.gov/media/81871/download,270575
07/11/2015,1718873,"Utah Medical Products, Inc",483,01/17/2024,https://www.fda.gov/media/70127/download,270599
07/11/2015,1718873,"Utah Medical Products, Inc",483,01/17/2024,https://www.fda.gov/media/70158/download,270488
07/11/2015,1718873,"Utah Medical Products, Inc",483,01/17/2024,https://www.fda.gov/media/70184/download,270598
07/23/2015,1718873,"Utah Medical Products, Inc",483,01/17/2024,https://www.fda.gov/media/70202/download,270206
07/10/2015,1810189,Pharmacia & Upjohn Company LLC,483,01/17/2024,https://www.fda.gov/media/88106/download,270695
05/06/2016,1811396,"Catalent Pharma Solutions, LLC",483,01/17/2024,https://www.fda.gov/media/97294/download,270021
07/10/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/78964/download,270632
07/10/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/78970/download,270633
07/10/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/78978/download,270634
07/10/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/78999/download,270637
07/11/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/78987/download,270502
07/23/2015,1811666,L. Perrigo Company,483,01/17/2024,https://www.fda.gov/media/79088/download,270233
07/11/2015,1811755,Stryker Corporation,483,01/17/2024,https://www.fda.gov/media/77356/download,270515
07/11/2015,1811755,Stryker Corporation,483,01/17/2024,https://www.fda.gov/media/77380/download,270497
07/11/2015,1815692,Abbott Laboratories,483,01/17/2024,https://www.fda.gov/media/79495/download,270527
07/11/2015,1818910,"DePuy Orthopaedics, Inc.",483,01/17/2024,https://www.fda.gov/media/80718/download,270539
07/11/2015,1818910,"DePuy Orthopaedics, Inc.",483,01/17/2024,https://www.fda.gov/media/80738/download,270437
07/23/2015,1818977,"ENDO USA, Inc.",483,01/17/2024,https://www.fda.gov/media/89554/download,270275
07/23/2015,1818977,"ENDO USA, Inc.",483,01/17/2024,https://www.fda.gov/media/89567/download,270272
07/11/2015,1819470,Eli Lilly & Company,483,01/17/2024,https://www.fda.gov/media/70798/download,270493
07/10/2015,1824206,Baxter Healthcare Corporation,483,01/17/2024,https://www.fda.gov/media/85045/download,270651
01/17/2017,1825034,"Biomet, Inc.",483,01/17/2024,https://www.fda.gov/media/102598/download,269904
05/29/2018,1825034,"Biomet, Inc.",483,01/17/2024,https://www.fda.gov/media/113901/download,269702
05/29/2018,1825034,"Biomet, Inc.",483,01/17/2024,https://www.fda.gov/media/113911/download,269701
07/11/2015,1828100,Terumo Cardiovascular Systems Corporation,483,01/17/2024,https://www.fda.gov/media/80689/download,270544
07/11/2015,1828100,Terumo Cardiovascular Systems Corporation,483,01/17/2024,https://www.fda.gov/media/80696/download,270534
07/11/2015,1828100,Terumo Cardiovascular Systems Corporation,483,01/17/2024,https://www.fda.gov/media/80706/download,270536
07/11/2015,1828100,Terumo Cardiovascular Systems Corporation,483,01/17/2024,https://www.fda.gov/media/116586/download,270543
07/24/2015,1828132,Boston Scientific Corp,483,01/17/2024,https://www.fda.gov/media/70691/download,270187
07/11/2015,1831750,Stryker Medical Division of Stryker Corporation,483,01/17/2024,https://www.fda.gov/media/77363/download,270451
07/11/2015,1831750,Stryker Medical Division of Stryker Corporation,483,01/17/2024,https://www.fda.gov/media/77389/download,270426
07/11/2015,1832620,"Fresh Pak, Inc.",483,01/17/2024,https://www.fda.gov/media/77912/download,270525
07/11/2015,1833173,Caraco Pharmaceutical Laboratories Ltd,483,01/17/2024,https://www.fda.gov/media/69976/download,270602
07/11/2015,1833173,"Caraco Pharmaceutical Laboratories, Ltd",483,01/17/2024,https://www.fda.gov/media/77353/download,270607
07/23/2015,1833173,"Caraco  Pharmaceutical  Laboratories,  Ltd.",483,01/17/2024,https://www.fda.gov/media/89533/download,270277
07/23/2015,1833173,"Caraco  Pharmaceutical  Laboratories,  Ltd.",483,01/17/2024,https://www.fda.gov/media/89535/download,270279
07/11/2015,1833336,L. Perrigo Co,483,01/17/2024,https://www.fda.gov/media/78753/download,270572
07/11/2015,1873031,American Red Cross Blood Svs. Indiana-Ohio Region,483,01/17/2024,https://www.fda.gov/media/82885/download,270613
07/10/2015,1873033,American Red Cross Blood Services Great Lakes Region,483,01/17/2024,https://www.fda.gov/media/79357/download,270644
07/11/2015,1873033,American Red Cross Blood Services Great Lakes Region,483,01/17/2024,https://www.fda.gov/media/82862/download,270615
07/10/2015,1873044,The American National Red Cross,483,01/17/2024,https://www.fda.gov/media/78752/download,270404
07/11/2015,1873044,The American National Red Cross,483,01/17/2024,https://www.fda.gov/media/82947/download,270611
07/28/2015,1873886,Emergent Biodefense Operations Lansing LLC,483,01/17/2024,https://www.fda.gov/media/70841/download,270153
07/23/2015,1876582,King Pharmaceuticals LLC,483,01/17/2024,https://www.fda.gov/media/89544/download,270276
07/10/2015,1911445,Haleon US Inc.,483,01/17/2024,https://www.fda.gov/media/85899/download,270674
07/11/2015,1911445,Haleon US Inc.,483,01/17/2024,https://www.fda.gov/media/82522/download,270604
07/11/2015,1911445,Haleon US Inc.,483,01/17/2024,https://www.fda.gov/media/82552/download,270618
07/10/2015,1930931,Rose Acres Farm,483,01/17/2024,https://www.fda.gov/media/83436/download,270638
07/28/2015,1931484,"Grato Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/69958/download,270147
07/10/2015,1937280,Meridian Medical Technologies a Pfizer Company,483,01/17/2024,https://www.fda.gov/media/88118/download,270696
07/23/2015,1937280,"Meridian Medical Technologies, Inc.",483,01/17/2024,https://www.fda.gov/media/87521/download,270203
07/11/2015,1940465,"Consolidated Chemical, Inc",483,01/17/2024,https://www.fda.gov/media/77669/download,270498
07/11/2015,1940465,"Consolidated Chemical, Inc",483,01/17/2024,https://www.fda.gov/media/77681/download,270499
07/11/2015,1940465,"Consolidated Chemical, Inc",483,01/17/2024,https://www.fda.gov/media/77715/download,270500
07/23/2015,1940465,"Consolidated Chemical, Inc",483,01/17/2024,https://www.fda.gov/media/78538/download,270228
07/10/2015,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,01/17/2024,https://www.fda.gov/media/87540/download,270351
07/24/2015,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,01/17/2024,https://www.fda.gov/media/87535/download,270340
10/13/2017,1950222,"Meridian Medical Technologies, LLC a Subsidiary of Kindeva Drug Delivery, L.P.",483,01/17/2024,https://www.fda.gov/media/108062/download,269773
07/23/2015,1972829,SSM Health Care St. Louis DBA SSM St. Clare Health Center,483,01/17/2024,https://www.fda.gov/media/89530/download,270253
10/24/2018,1972829,SSM Health Care St. Louis DBA SSM St. Clare Health Center,483,01/17/2024,https://www.fda.gov/media/109511/download,269763
07/10/2015,2017865,Abbott Medical,483,01/17/2024,https://www.fda.gov/media/84896/download,270653
04/12/2017,2017865,Abbott Medical,483,01/17/2024,https://www.fda.gov/media/104436/download,269882
07/10/2015,2027158,"Teva Parenteral Medicines, Inc.",483,01/17/2024,https://www.fda.gov/media/77354/download,270620
07/23/2015,2027158,"Teva Parenteral Medicines, Inc.",483,01/17/2024,https://www.fda.gov/media/77048/download,270193
07/11/2015,2072994,American National Red Cross,483,01/17/2024,https://www.fda.gov/media/82987/download,270616
03/24/2016,2074359,Dignity Health - Northridge Hospital Medical Center,483,01/17/2024,https://www.fda.gov/media/96612/download,270029
12/01/2017,2074359,Dignity Health - Northridge Hospital Medical Center,483,01/17/2024,https://www.fda.gov/media/108868/download,269766
10/25/2016,2080950,Huntington Memorial Hospital,483,01/17/2024,https://www.fda.gov/media/100763/download,269930
07/17/2015,2082946,Gilead Sciences Inc,483,01/17/2024,https://www.fda.gov/media/80054/download,270317
07/11/2015,2111173,"Scientific Protein Laboratories, LLC",483,01/17/2024,https://www.fda.gov/media/78981/download,270438
07/11/2015,2111173,"Scientific Protein Laboratories, LLC",483,01/17/2024,https://www.fda.gov/media/78991/download,270524
07/11/2015,2111173,"Scientific Protein Laboratories, LLC",483,01/17/2024,https://www.fda.gov/media/79000/download,270526
07/24/2015,2117605,Plainview Milk Products Cooperative,483,01/17/2024,https://www.fda.gov/media/77184/download,270174
07/24/2015,2117605,Plainview Milk Products Cooperative,483,01/17/2024,https://www.fda.gov/media/116731/download,270173
07/11/2015,2124215,Boston Scientific Corporation,483,01/17/2024,https://www.fda.gov/media/70646/download,270508
07/11/2015,2124215,Boston Scientific Corporation,483,01/17/2024,https://www.fda.gov/media/70699/download,270608
07/11/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80064/download,270440
07/11/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80072/download,270441
07/11/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80078/download,270439
07/11/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80094/download,270436
07/11/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80191/download,270535
07/23/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80398/download,270198
07/23/2015,2128643,"H & P Industries, Inc.",483,01/17/2024,https://www.fda.gov/media/80465/download,270197
07/11/2015,2173028,American National Red Cross (The),483,01/17/2024,https://www.fda.gov/media/82895/download,270482
07/23/2015,2211583,"McNeil PPC, Inc.",483,01/17/2024,https://www.fda.gov/media/79291/download,270243
07/10/2015,2242985,PharMEDium Services LLC,483,01/17/2024,https://www.fda.gov/media/85306/download,270659
09/21/2015,2242985,PharMEDium Services LLC,483,01/17/2024,https://www.fda.gov/media/93726/download,270128
07/05/2016,2242985,PharMEDium Services LLC,483,01/17/2024,https://www.fda.gov/media/98662/download,269993
10/24/2018,2242985,PharMEDium Services LLC,483,01/17/2024,https://www.fda.gov/media/110129/download,269749
09/27/2018,2243072,Becton Dickinson & Company,483,01/17/2024,https://www.fda.gov/media/106817/download,269815
07/28/2015,2243092,Everest Life Sciences LLC,483,01/17/2024,https://www.fda.gov/media/88793/download,270143
07/28/2015,2243092,Everest Life Sciences LLC,483,01/17/2024,https://www.fda.gov/media/89430/download,270144
07/24/2015,2243677,"Quality Formulation Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/77124/download,270189
07/23/2015,2244349,"Quesos Mi Pueblito, LLC",483,01/17/2024,https://www.fda.gov/media/77723/download,270211
07/11/2015,2246848,Akorn Operating Company LLC,483,01/17/2024,https://www.fda.gov/media/82463/download,270581
07/23/2015,2343092,"Jacobus Pharmaceutical Company, Inc",483,01/17/2024,https://www.fda.gov/media/87526/download,270205
07/24/2015,2410662,Wyeth Pharmaceutical Division of Wyeth Holdings LLC,483,01/17/2024,https://www.fda.gov/media/70960/download,270161
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82165/download,270545
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82170/download,270546
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82176/download,270547
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82185/download,270549
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82298/download,270548
07/11/2015,2411192,"Professional Disposables International, Inc.",483,01/17/2024,https://www.fda.gov/media/82307/download,270551
07/24/2015,2427372,Trans-Packers Services Corporation,483,01/17/2024,https://www.fda.gov/media/77397/download,270188
08/22/2018,2431293,FUJIFILM Healthcare Americas Corporation,483,01/17/2024,https://www.fda.gov/media/93202/download,270136
07/24/2015,2431898,"Time-Cap Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/70875/download,270150
07/11/2015,2433583,"Setton International Foods, Inc.",483,01/17/2024,https://www.fda.gov/media/76176/download,270489
07/11/2015,2433583,"Setton International Foods, Inc.",483,01/17/2024,https://www.fda.gov/media/76399/download,270600
07/24/2015,2433583,"Setton International Foods, Inc.",483,01/17/2024,https://www.fda.gov/media/76169/download,270175
08/08/2016,2434377,William R. Grace M.D. P. C.,483,01/17/2024,https://www.fda.gov/media/99494/download,269971
07/10/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/79249/download,270646
07/10/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/79258/download,270648
07/10/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/79433/download,270403
07/10/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/80115/download,270647
07/11/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/78916/download,270505
07/23/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/78665/download,270230
07/23/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/79239/download,270242
07/24/2015,2510184,"Johnson and Johnson Consumer Inc, Div Of Mcneil,Inc.",483,01/17/2024,https://www.fda.gov/media/79448/download,270183
07/10/2015,2518760,Sanofi Pasteur Inc.,483,01/17/2024,https://www.fda.gov/media/70275/download,270341
07/11/2015,2521009,"Hillside Poultry Farms, Inc.",483,01/17/2024,https://www.fda.gov/media/79885/download,270559
